net,length_um
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[0\],237.455
_05756_,236.03
_05748_,233.64
_06204_,233.42
_06184_,233.34
_06684_,232.99
_06192_,232.48
_11150_,232.43
_06446_,232.19
_04590_,230.78
_04955_,230.6
_04964_,229.62
_11160_,229.54
_08137_,229.13
_07592_,227.65
clknet_4_6__leaf_clk,226.37
_06186_,225.86
_04583_,225.81
_05084_,224.95
_09231_,224.92
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[4\],224.06
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[2\],222.64
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[0\],220.66
_10541_,220.24
_07075_,219.91
_04619_,219.73
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[3\],218.9
_08166_,218.55
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[5\],218.46
_07611_,218.22
_03660_,217.3
_05741_,216.94
net148,216.92
_05128_,216.58
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[1\],216.37
_11695_,214.94
_05735_,214.84
_09184_,214.675
_06181_,213.9
net48,213.02
_06198_,212.74
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[14\],212.3
_10049_,211.9
_05129_,211.66
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[7\],211.38
net96,211.22
_04727_,210.12
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[11\],208.14
_05753_,207.81
_08684_,207.52
clknet_4_12__leaf_clk,207.12
_07619_,207.11
_05088_,207
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[12\],205.58
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[10\],204.68
_03713_,204.65
_05738_,204.64
net31,204.12
_07622_,204.05
_04917_,202.3
_10035_,200.195
net144,200.18
_04982_,199.24
_10032_,198.7
_09185_,195.81
_10614_,195.66
_05294_,195.48
_07333_,195.29
_05306_,194.58
net76,194.5
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[3\],194.48
net8,193.7
_04996_,193.56
_11675_,193.22
_07624_,192.99
_03693_,192.84
_04659_,192.74
_10030_,192.68
_06641_,192.195
_04726_,191.16
_10040_,190.92
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[9\],190.8
_11142_,190.655
_10038_,190.445
_02467_,190.06
_07613_,189.84
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[10\],189.7
_04916_,189.53
_02503_,188.05
_04672_,186.53
_11713_,186.3
_10029_,185.18
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[13\],185.1
_03702_,185.09
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[8\],184.16
_04615_,183.98
_04730_,183.965
top_inst.grid_inst.rows\[2\].cols\[2\].pe_inst.sum_output\[13\],183.2
_08692_,183.03
_01930_,182.41
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[16\],182.22
_01949_,182.18
_07615_,182.115
_04662_,182.08
_05767_,181.42
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[12\],181.42
_02000_,181.12
_10595_,181.06
_10027_,180.27
_06620_,180.24
_04981_,180.18
_05123_,179.76
net158,178.86
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[15\],178.6
top_inst.grid_inst.rows\[1\].cols\[0\].pe_inst.sum_output\[15\],178.28
_04805_,178.24
_02897_,178.035
net157,177.96
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[9\],177.38
_01840_,177.3
_03279_,177.125
_07378_,176.96
_07061_,176.885
_07610_,176.62
_01838_,176.13
top_inst.grid_inst.rows\[2\].cols\[2\].pe_inst.sum_output\[15\],176.12
_10576_,175.82
_08896_,175.59
_10022_,175.38
_11143_,175.25
_08140_,174.89
top_inst.grid_inst.rows\[1\].cols\[0\].pe_inst.sum_output\[12\],174.68
_09194_,174.21
_02880_,174.19
_02864_,173.28
_04714_,173.28
net211,173.2
_11704_,172.2
_01996_,172.12
_11133_,171.16
_09189_,171.095
_05142_,170.995
net21,170.82
_05768_,170.78
net155,170.68
_04713_,170.515
_05009_,170.13
_01796_,169.84
_04632_,169.4
clknet_leaf_100_clk,168.98
top_inst.grid_inst.rows\[2\].cols\[2\].pe_inst.sum_output\[16\],168.78
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[11\],168.68
_05290_,167.86
top_inst.grid_inst.rows\[1\].cols\[1\].pe_inst.sum_output\[0\],167.78
net26,167.76
_09361_,167.31
_08669_,167
_03695_,166.2
_01734_,165.61
_01998_,165.54
_04804_,165.31
_08659_,165.12
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[15\],164.84
net80,164.72
_07085_,164.67
_06635_,164.63
top_inst.grid_inst.data_path_wires\[17\]\[6\],164.52
_08671_,164.45
top_inst.grid_inst.data_path_wires\[18\]\[5\],164.42
_04808_,164.24
_04765_,164.01
_01557_,164
_10046_,163.53
_04769_,163.36
net12,163.32
top_inst.grid_inst.rows\[1\].cols\[0\].pe_inst.sum_output\[14\],163.15
_01592_,162.98
net83,162.92
_07416_,162.86
_10025_,162.82
_01563_,162.715
net36,162.14
_10589_,161.34
_04628_,161.275
_05272_,161.27
_04192_,161.26
_04629_,160.66
_03122_,160.6
top_inst.grid_inst.rows\[1\].cols\[1\].pe_inst.sum_output\[1\],160.3
_07290_,160.24
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[4\],159.42
_10039_,159.17
top_inst.grid_inst.rows\[1\].cols\[0\].pe_inst.sum_output\[11\],159.15
_01988_,158.7
_04756_,158.66
_04912_,158.47
_04675_,158.43
_04766_,158.34
_04511_,157.98
_08133_,157.78
_05089_,157.5
_02463_,157.47
top_inst.grid_inst.rows\[2\].cols\[3\].pe_inst.weight_reg\[7\],157.225
_02909_,156.875
net1014,156.7
top_inst.grid_inst.data_path_wires\[1\]\[4\],156.48
_02005_,156.42
_01757_,156.17
_10620_,156.04
_02875_,156.02
_05305_,155.94
_09625_,155.94
_05567_,155.66
_01676_,155.34
_10033_,155.14
net156,154.94
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[8\],154.87
clknet_leaf_125_clk,154.8
top_inst.grid_inst.rows\[1\].cols\[0\].pe_inst.weight_reg\[7\],154.76
_04717_,154.755
clknet_leaf_103_clk,153.79
top_inst.grid_inst.rows\[1\].cols\[0\].pe_inst.sum_output\[13\],153.66
_02866_,153.6
clknet_leaf_38_clk,153.42
net126,153
_11721_,152.48
_07060_,152.325
_07606_,152.1
_07608_,151.85
_04656_,151.53
clknet_leaf_135_clk,151.42
_02862_,151.06
_02016_,151.005
_10592_,150.855
_06634_,150.72
_06212_,149.93
_06630_,149.79
top_inst.grid_inst.data_path_wires\[13\]\[6\],149.64
top_inst.grid_inst.data_path_wires\[18\]\[6\],149.63
_01258_,149.42
_05127_,149.13
_10610_,148.94
_04700_,148.69
clknet_leaf_102_clk,148.58
_04819_,148.34
top_inst.grid_inst.data_path_wires\[2\]\[4\],148.31
_07292_,148.26
_04840_,147.78
_02871_,147.705
top_inst.grid_inst.rows\[2\].cols\[2\].pe_inst.sum_output\[11\],147.48
top_inst.grid_inst.data_path_wires\[2\]\[5\],147.015
_04902_,146.92
top_inst.grid_inst.rows\[1\].cols\[0\].pe_inst.sum_output\[10\],146.84
_03709_,146.83
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[14\],145.26
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[5\],145.26
_04701_,145.195
net147,145.16
_05115_,145.05
_02878_,144.985
_10034_,144.94
clknet_leaf_132_clk,144.88
_10036_,144.86
_07460_,144.78
_01430_,144.7
_08681_,144.64
_02868_,144.35
_03690_,144.28
top_inst.grid_inst.data_path_wires\[17\]\[5\],144.265
net149,144.06
top_inst.grid_inst.rows\[2\].cols\[2\].pe_inst.sum_output\[14\],143.99
_10584_,143.895
_11688_,143.74
_02009_,143.4
_01298_,143.32
_04092_,143.16
top_inst.grid_inst.rows\[2\].cols\[2\].pe_inst.sum_output\[12\],142.82
_04562_,142.48
_08306_,142.48
net34,142.36
_04903_,142.01
_07081_,142
clknet_leaf_55_clk,141.87
clknet_leaf_137_clk,141.76
_04795_,141.67
top_inst.grid_inst.rows\[0\].cols\[1\].pe_inst.weight_reg\[7\],141.64
_09210_,141.39
_11681_,141.04
_02465_,140.88
_03937_,140.64
_04504_,140.48
_02869_,140.36
_09198_,139.97
_04537_,139.92
_08157_,139.795
top_inst.grid_inst.rows\[2\].cols\[0\].pe_inst.weight_reg\[3\],139.355
_11140_,139.315
top_inst.grid_inst.rows\[1\].cols\[1\].pe_inst.sum_output\[2\],138.94
_02881_,138.735
_11679_,138.675
top_inst.grid_inst.rows\[2\].cols\[0\].pe_inst.sum_output\[0\],138.33
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[16\],138.26
_05217_,138.12
_03703_,138.11
_10057_,138.1
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[7\],137.64
_06647_,137.58
top_inst.grid_inst.data_path_wires\[3\]\[5\],137.46
_08159_,137.38
top_inst.grid_inst.data_path_wires\[1\]\[5\],137.06
_05008_,136.82
top_inst.grid_inst.rows\[1\].cols\[1\].pe_inst.weight_reg\[7\],136.73
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.weight_reg\[7\],136.695
top_inst.grid_inst.rows\[2\].cols\[3\].pe_inst.sum_output\[16\],136.64
clknet_leaf_140_clk,136.16
_07643_,135.9
_10612_,135.9
_11676_,135.83
top_inst.grid_inst.data_path_wires\[6\]\[3\],135.76
_02011_,135.55
_11701_,135.5
top_inst.grid_inst.data_path_wires\[16\]\[3\],135.35
_10581_,135.34
_11686_,135.28
_03246_,135.26
_08373_,135.245
_08621_,135.03
top_inst.grid_inst.data_path_wires\[16\]\[4\],135
_07637_,134.98
top_inst.grid_inst.rows\[0\].cols\[3\].pe_inst.weight_reg\[7\],134.895
_04792_,134.84
_02895_,134.605
_02873_,134.56
clknet_leaf_128_clk,134.22
_04671_,134.14
_11691_,134.08
net53,134
top_inst.axis_in_inst.inbuf_bus\[6\],133.66
_10041_,133.64
_04704_,133.56
top_inst.grid_inst.rows\[0\].cols\[3\].pe_inst.weight_reg\[0\],133.5
_03680_,133.05
_08135_,132.8
_09197_,132.64
_04530_,132.52
_09206_,132.515
_10585_,132.49
_05004_,132.43
top_inst.grid_inst.rows\[2\].cols\[2\].pe_inst.sum_output\[9\],132.39
top_inst.grid_inst.rows\[2\].cols\[3\].pe_inst.sum_output\[14\],132.3
_04616_,132.2
_02885_,132.1
_04564_,131.98
_04557_,131.93
_11684_,131.855
_10608_,131.84
_10042_,131.83
_11135_,131.76
_04977_,130.95
_01385_,130.9
_05102_,130.855
net355,130.64
_08677_,130.54
_02674_,130.28
_02473_,130.16
_02020_,129.96
_10031_,129.96
_04885_,129.92
_10602_,129.88
_05770_,129.68
_08673_,129.64
_08679_,129.6
_09211_,129.55
_11154_,129.54
_09459_,129.51
_02002_,129.5
_06632_,129.315
top_inst.grid_inst.rows\[1\].cols\[1\].pe_inst.sum_output\[3\],129.3
top_inst.grid_inst.data_path_wires\[3\]\[4\],129.14
_02891_,128.925
_09203_,128.66
_06637_,128.05
top_inst.grid_inst.rows\[2\].cols\[3\].pe_inst.sum_output\[15\],127.74
clknet_leaf_116_clk,127.72
_03078_,127.54
_04835_,127.46
_09209_,127.34
_11145_,127.34
_05641_,127.14
_08122_,126.98
_09631_,126.92
_01294_,126.9
_02559_,126.77
_03938_,126.74
_03684_,126.7
_05761_,126.62
top_inst.grid_inst.data_path_wires\[18\]\[4\],126.54
_10604_,126.47
top_inst.grid_inst.data_path_wires\[13\]\[4\],126.37
_07631_,126.26
_05284_,125.775
_06207_,125.74
top_inst.grid_inst.data_path_wires\[17\]\[3\],125.67
top_inst.grid_inst.data_path_wires\[18\]\[3\],125.54
_02035_,125.5
top_inst.grid_inst.data_path_wires\[8\]\[3\],125.16
top_inst.grid_inst.rows\[3\].cols\[1\].pe_inst.weight_reg\[7\],125.1
_11707_,125.08
top_inst.grid_inst.data_path_wires\[18\]\[7\],124.96
top_inst.grid_inst.rows\[2\].cols\[2\].pe_inst.sum_output\[8\],124.78
_04551_,124.56
_02013_,124.51
_07633_,124.38
_05031_,124.355
top_inst.deskew_buff_inst.col_input\[30\],124.34
_09207_,124.01
_04898_,124
top_inst.grid_inst.data_path_wires\[11\]\[0\],123.88
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.sum_output\[13\],123.58
top_inst.grid_inst.rows\[0\].cols\[2\].pe_inst.weight_reg\[7\],123.46
_07074_,123.35
_02018_,123.32
top_inst.grid_inst.data_path_wires\[18\]\[1\],123.32
_10044_,123.26
_07068_,123.22
_04791_,123.175
_10840_,122.79
_11138_,122.76
_04844_,122.73
_04570_,122.68
_01994_,122.3
net1027,122.28
top_inst.grid_inst.data_path_wires\[17\]\[4\],121.935
_04995_,121.6
_01352_,121.58
_02470_,121.565
_09418_,121.46
_06200_,121.27
_08620_,120.94
top_inst.grid_inst.rows\[3\].cols\[0\].pe_inst.weight_reg\[2\],120.9
_04691_,120.88
_08161_,120.83
clknet_leaf_63_clk,120.78
top_inst.grid_inst.data_path_wires\[6\]\[1\],120.75
_10577_,120.55
_01524_,120.54
_11152_,120.52
top_inst.grid_inst.rows\[2\].cols\[3\].pe_inst.sum_output\[10\],120.52
_05292_,120.46
clknet_leaf_57_clk,120.435
_05071_,120.42
_05221_,120.4
_04137_,120.37
top_inst.grid_inst.data_path_wires\[12\]\[5\],120.36
_07641_,120.24
_04864_,120.16
_11705_,119.88
top_inst.grid_inst.rows\[2\].cols\[3\].pe_inst.sum_output\[13\],119.86
_03123_,119.74
_06214_,119.66
_05045_,119.56
_02887_,119.53
_03080_,119.52
top_inst.grid_inst.data_path_wires\[8\]\[1\],119.39
top_inst.grid_inst.data_path_wires\[7\]\[7\],119.38
clknet_leaf_39_clk,119.38
_01342_,119.3
_10050_,119.005
_08688_,118.82
_02528_,118.78
_02883_,118.34
_05763_,118.165
_10047_,118.01
_05101_,117.94
top_inst.grid_inst.rows\[2\].cols\[3\].pe_inst.sum_output\[12\],117.62
top_inst.grid_inst.rows\[1\].cols\[0\].pe_inst.sum_output\[0\],117.54
_11132_,117.515
net454,117.46
_02643_,117.26
_11700_,117.24
top_inst.axis_in_inst.inbuf_bus\[22\],117.18
top_inst.grid_inst.data_path_wires\[3\]\[2\],117.18
_10283_,117.13
clknet_leaf_122_clk,117.04
_03376_,117
top_inst.grid_inst.rows\[2\].cols\[3\].pe_inst.sum_output\[8\],117
_03453_,116.97
top_inst.grid_inst.rows\[3\].cols\[1\].pe_inst.weight_reg\[0\],116.86
_04268_,116.82
top_inst.grid_inst.data_path_wires\[13\]\[3\],116.68
_11156_,116.56
top_inst.grid_inst.rows\[1\].cols\[0\].pe_inst.sum_output\[9\],116.37
_04535_,116.305
_04943_,116.05
_05169_,115.84
top_inst.grid_inst.rows\[1\].cols\[0\].pe_inst.weight_reg\[5\],115.78
top_inst.grid_inst.rows\[2\].cols\[3\].pe_inst.sum_output\[9\],115.76
top_inst.grid_inst.rows\[1\].cols\[0\].pe_inst.sum_output\[25\],115.48
top_inst.deskew_buff_inst.col_input\[31\],115.36
_05304_,115.32
