net,length_um
_07127_,39.23
_09066_,39.18
_09595_,39.14
top_inst.grid_inst.rows\[2\].cols\[0\].pe_inst.sum_output\[15\],39.14
_01481_,39.12
_10099_,39.1
_05572_,39.08
net195,39.06
_08406_,39.04
net563,39
net577,39
_11058_,38.995
_03881_,38.94
net458,38.92
_11125_,38.9
_08281_,38.895
_00719_,38.805
_10627_,38.78
top_inst.grid_inst.rows\[0\].cols\[3\].pe_inst.sum_output\[6\],38.78
_11029_,38.76
_03015_,38.74
_03887_,38.74
_11406_,38.74
_03263_,38.7
net1025,38.68
_07415_,38.64
_09296_,38.62
net466,38.6
_06931_,38.52
_06521_,38.5
_01772_,38.4
_07278_,38.4
_10761_,38.4
_04208_,38.34
net315,38.3
top_inst.deskew_buff_inst.row\[2\].delayed_pass.shift_reg\[0\]\[6\],38.26
_01398_,38.16
_07798_,38.12
_11085_,38.12
_02183_,38.1
_05658_,38.02
_10498_,38
top_inst.deskew_buff_inst.col_input\[34\],38
top_inst.grid_inst.rows\[0\].cols\[2\].pe_inst.weight_reg\[2\],37.99
_01644_,37.98
_01671_,37.98
_10696_,37.98
_04444_,37.9
_08484_,37.88
top_inst.grid_inst.rows\[3\].cols\[1\].pe_inst.weight_reg\[4\],37.88
_02546_,37.8
top_inst.grid_inst.rows\[2\].cols\[1\].pe_inst.sum_output\[11\],37.775
_09560_,37.72
_06591_,37.7
top_inst.grid_inst.rows\[0\].cols\[0\].pe_inst.weight_reg\[4\],37.7
_08764_,37.66
_02428_,37.64
_02779_,37.64
_08746_,37.64
net758,37.56
_01488_,37.52
net782,37.46
_11236_,37.42
_03549_,37.36
_07865_,37.36
_08442_,37.36
_04064_,37.32
top_inst.grid_inst.rows\[1\].cols\[1\].pe_inst.sum_output\[13\],37.3
_04431_,37.25
_02712_,37.24
_07882_,37.24
net447,37.24
net678,37.24
_02510_,37.22
net329,37.2
_08503_,37.18
_09935_,37.16
_01351_,37.1
_09682_,37.08
_02492_,37.04
_02910_,37.04
top_inst.grid_inst.rows\[2\].cols\[0\].pe_inst.sum_output\[17\],37.04
_02920_,36.98
_06079_,36.98
_03598_,36.94
_11592_,36.94
net495,36.94
_11486_,36.92
net215,36.92
_02819_,36.9
_01362_,36.86
net535,36.86
_05329_,36.84
_01963_,36.82
net564,36.82
_10691_,36.7
_02434_,36.68
_01249_,36.66
net260,36.62
_01638_,36.6
top_inst.deskew_buff_inst.row\[1\].delayed_pass.shift_reg\[1\]\[13\],36.56
top_inst.grid_inst.rows\[0\].cols\[3\].pe_inst.sum_output\[15\],36.56
net997,36.52
_05654_,36.5
_10412_,36.48
_10451_,36.46
net188,36.38
top_inst.grid_inst.rows\[2\].cols\[1\].pe_inst.sum_output\[9\],36.35
_10990_,36.28
_01345_,36.26
_03365_,36.26
_05464_,36.26
top_inst.grid_inst.rows\[0\].cols\[0\].pe_inst.sum_output\[3\],36.26
_01882_,36.24
_06502_,36.22
_10572_,36.22
_04139_,36.2
_08592_,36.2
_01262_,36.18
_01312_,36.18
_06957_,36.18
top_inst.grid_inst.rows\[2\].cols\[2\].pe_inst.sum_output\[0\],36.16
net554,36.14
_01195_,36.12
_07406_,36.12
net208,36.12
_01652_,36.06
_01701_,36.06
_03751_,36.02
_02066_,35.98
_07342_,35.98
_05547_,35.96
_10300_,35.96
_09957_,35.9
_09071_,35.89
_02514_,35.88
_10754_,35.88
_04181_,35.86
top_inst.grid_inst.rows\[3\].cols\[0\].pe_inst.weight_reg\[5\],35.84
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.weight_reg\[6\],35.83
_02793_,35.82
_04202_,35.82
_10633_,35.78
_03112_,35.76
_11505_,35.74
_05619_,35.72
top_inst.grid_inst.rows\[0\].cols\[1\].pe_inst.weight_reg\[6\],35.72
_01743_,35.71
_10733_,35.7
top_inst.deskew_buff_inst.row\[1\].delayed_pass.shift_reg\[1\]\[0\],35.64
net1003,35.64
_11224_,35.62
_11603_,35.58
net456,35.56
_01939_,35.52
_07424_,35.5
_09257_,35.48
_08431_,35.47
_03880_,35.44
_09297_,35.42
_10857_,35.4
_05663_,35.33
_10702_,35.3
_01628_,35.26
top_inst.deskew_buff_inst.row\[1\].delayed_pass.shift_reg\[0\]\[19\],35.24
_10184_,35.22
_02540_,35.16
_02098_,35.14
_08799_,35.14
_03569_,35.12
clknet_leaf_36_clk,35.1
_07157_,35.08
_02224_,34.98
top_inst.grid_inst.rows\[3\].cols\[3\].pe_inst.weight_reg\[0\],34.96
_07897_,34.94
net861,34.94
_06019_,34.92
_11572_,34.92
_02763_,34.9
_10968_,34.88
_07400_,34.74
_01194_,34.72
_09545_,34.72
_09597_,34.66
_04176_,34.62
_03419_,34.6
_07905_,34.6
_11335_,34.58
_09104_,34.56
_06540_,34.54
_09040_,34.54
_09161_,34.52
_01220_,34.5
_06777_,34.48
_01964_,34.44
_11605_,34.44
_05608_,34.42
_10556_,34.42
_00491_,34.385
_11472_,34.38
_10798_,34.36
_00458_,34.325
_06096_,34.3
_07175_,34.28
_09031_,34.28
_01775_,34.26
_07892_,34.26
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[2\]\[31\],34.26
top_inst.deskew_buff_inst.col_input\[61\],34.24
_01207_,34.22
top_inst.deskew_buff_inst.col_input\[101\],34.22
net567,34.22
_07830_,34.2
top_inst.grid_inst.rows\[2\].cols\[2\].pe_inst.sum_output\[2\],34.2
net923,34.16
_04261_,34.14
top_inst.axis_in_inst.inbuf_bus\[27\],34.14
top_inst.grid_inst.rows\[0\].cols\[3\].pe_inst.sum_output\[11\],34.14
net905,34.13
_10919_,34.04
_07837_,33.98
_10647_,33.94
net480,33.92
_07616_,33.8
_07875_,33.8
net278,33.8
_04117_,33.76
net282,33.76
_08494_,33.75
_09289_,33.72
_09937_,33.72
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[2\]\[23\],33.72
_01486_,33.68
_07410_,33.68
_09387_,33.68
_05595_,33.66
_05901_,33.66
_02385_,33.64
_05581_,33.62
_09611_,33.6
top_inst.deskew_buff_inst.col_input\[95\],33.58
_03607_,33.56
net568,33.56
_02155_,33.52
_07690_,33.52
_07853_,33.5
net359,33.5
net213,33.48
_01824_,33.46
top_inst.axis_in_inst.inbuf_bus\[23\],33.46
net825,33.46
_07689_,33.42
_11438_,33.4
_01456_,33.395
_07150_,33.395
_03253_,33.385
clknet_leaf_143_clk,33.38
_07930_,33.32
_10561_,33.3
_05424_,33.26
top_inst.deskew_buff_inst.col_input\[46\],33.22
_03076_,33.18
_06822_,33.18
_02292_,33.14
_06860_,33.14
_07206_,33.14
_07919_,33.14
_02569_,33.11
_02936_,33.06
_04174_,33.06
_09286_,33.06
net346,33.02
_03961_,33
net337,33
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.weight_reg\[6\],32.96
_01645_,32.92
_03299_,32.92
_03617_,32.92
top_inst.grid_inst.rows\[1\].cols\[0\].pe_inst.weight_reg\[6\],32.92
top_inst.skew_buff_inst.row\[2\].output_reg\[7\],32.92
_07528_,32.9
_07556_,32.88
net596,32.88
net867,32.88
_01406_,32.86
net967,32.86
_01890_,32.84
_02452_,32.82
_06605_,32.8
_01474_,32.78
_02197_,32.78
_02314_,32.72
_09259_,32.7
_01418_,32.66
_05398_,32.64
_09449_,32.6
_04141_,32.58
net837,32.58
_02733_,32.56
_09982_,32.54
_11055_,32.54
_01487_,32.52
_01599_,32.52
_07881_,32.52
_08196_,32.52
top_inst.deskew_buff_inst.row\[1\].delayed_pass.shift_reg\[1\]\[8\],32.52
_01654_,32.5
net481,32.5
_07299_,32.475
_06230_,32.46
_06872_,32.44
_11585_,32.44
_04600_,32.43
net883,32.43
_01245_,32.38
_03669_,32.38
_03769_,32.38
_09553_,32.36
_10329_,32.36
net306,32.34
_09110_,32.32
_05532_,32.28
_09415_,32.28
_09300_,32.26
_09666_,32.26
top_inst.grid_inst.rows\[0\].cols\[0\].pe_inst.sum_output\[2\],32.26
_05533_,32.24
net608,32.22
_09561_,32.2
_00484_,32.185
_10379_,32.16
_05421_,32.14
_06742_,32.12
_09440_,32.12
_08882_,32.08
_02104_,32.04
clknet_leaf_75_clk,32.04
_11109_,32.02
net1125,32.02
_08233_,32
_05337_,31.96
_10233_,31.9
_02139_,31.86
_10747_,31.84
_07794_,31.76
_06084_,31.75
_06811_,31.74
_09287_,31.72
_10628_,31.72
_08015_,31.66
top_inst.axis_out_inst.out_buff_data\[52\],31.66
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[2\]\[30\],31.66
top_inst.grid_inst.rows\[0\].cols\[1\].pe_inst.sum_output\[5\],31.64
_11183_,31.61
_06135_,31.6
_03576_,31.58
_01758_,31.56
_07154_,31.54
_08441_,31.54
_09475_,31.54
_02483_,31.52
_04207_,31.48
_07505_,31.48
_07623_,31.48
_08453_,31.48
_01444_,31.42
_11001_,31.38
_01186_,31.34
net724,31.34
_02632_,31.32
_04188_,31.32
_05433_,31.32
_08748_,31.3
net321,31.26
_11003_,31.24
top_inst.deskew_buff_inst.row\[2\].delayed_pass.shift_reg\[0\]\[20\],31.24
top_inst.grid_inst.rows\[1\].cols\[0\].pe_inst.sum_output\[27\],31.24
_01500_,31.22
_11646_,31.22
_02241_,31.2
_07197_,31.18
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[0\]\[31\],31.16
_09329_,31.14
_03164_,31.12
_09113_,31.12
_03436_,31.1
_02425_,31.09
_09115_,31.08
_01213_,31.06
_08088_,31.04
_05828_,31.03
_10810_,31
_02849_,30.96
_10690_,30.96
_05591_,30.94
_04032_,30.93
_10727_,30.9
top_inst.deskew_buff_inst.row\[1\].delayed_pass.shift_reg\[1\]\[1\],30.9
_00765_,30.88
_06462_,30.86
_03890_,30.84
_09516_,30.84
_08256_,30.825
_05963_,30.82
net318,30.78
_04245_,30.76
_02341_,30.72
top_inst.grid_inst.rows\[0\].cols\[2\].pe_inst.sum_output\[3\],30.68
_07530_,30.675
_08909_,30.66
_04421_,30.62
_06433_,30.62
net892,30.62
_07146_,30.56
_05839_,30.54
_09046_,30.54
net572,30.54
_02532_,30.5
_05998_,30.5
top_inst.grid_inst.rows\[2\].cols\[0\].pe_inst.sum_output\[21\],30.5
_02774_,30.48
_06902_,30.46
top_inst.deskew_buff_inst.row\[1\].delayed_pass.shift_reg\[1\]\[7\],30.46
_07296_,30.42
_07878_,30.42
_08425_,30.4
_11407_,30.4
_01606_,30.375
net777,30.34
_11307_,30.32
_11341_,30.32
net375,30.32
_08409_,30.3
_07269_,30.28
_09653_,30.28
_03469_,30.24
_08598_,30.24
net586,30.24
_04122_,30.2
_07792_,30.2
_10076_,30.2
_09272_,30.18
_01815_,30.16
_03910_,30.16
_02129_,30.14
_03773_,30.14
_02535_,30.1
_06708_,30.08
_09567_,30.08
_11492_,30.08
net983,30.08
_02343_,30.015
_06833_,30
_07681_,30
net540,30
_02958_,29.96
_08925_,29.96
_01363_,29.94
_09502_,29.94
_01261_,29.92
_01915_,29.92
top_inst.skew_buff_inst.row\[2\].output_reg\[3\],29.92
_06272_,29.9
_09003_,29.9
net943,29.9
_01478_,29.86
_06339_,29.86
_11052_,29.86
_05615_,29.82
_02286_,29.8
_07835_,29.8
_08421_,29.78
_02327_,29.76
_10501_,29.76
_02584_,29.74
_03830_,29.74
_07898_,29.74
_07972_,29.74
_07372_,29.72
_09520_,29.72
top_inst.axis_out_inst.out_buff_data\[103\],29.72
top_inst.grid_inst.rows\[2\].cols\[1\].pe_inst.sum_output\[10\],29.68
net913,29.68
_01299_,29.64
_05474_,29.64
_04073_,29.62
_06102_,29.62
_11024_,29.62
net546,29.62
_00483_,29.615
_10646_,29.6
_07962_,29.58
_07300_,29.56
_01749_,29.52
_01773_,29.48
_01788_,29.48
_07516_,29.465
_02240_,29.46
_09438_,29.46
_07247_,29.44
_08225_,29.44
top_inst.deskew_buff_inst.row\[2\].delayed_pass.shift_reg\[0\]\[9\],29.44
_05703_,29.42
_08523_,29.4
_04067_,29.36
_05980_,29.36
_06675_,29.34
_00555_,29.325
_01221_,29.32
_04047_,29.32
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[2\]\[28\],29.32
_01569_,29.3
_06802_,29.3
_02411_,29.2
_00764_,29.18
_01590_,29.18
_10201_,29.16
_06980_,29.13
_03484_,29.12
top_inst.grid_inst.rows\[2\].cols\[1\].pe_inst.sum_output\[23\],29.12
net517,29.12
net528,29.12
_01906_,29.115
_07217_,29.08
_03554_,29.06
_06285_,29.05
_05496_,29.04
_06232_,29.04
_03335_,29.025
_11026_,29.01
_04284_,28.96
top_inst.axis_out_inst.out_buff_data\[58\],28.96
net570,28.96
_10721_,28.92
_08736_,28.9
_10534_,28.9
net929,28.9
_05435_,28.88
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[1\]\[3\],28.88
_02757_,28.86
top_inst.axis_out_inst.out_buff_data\[97\],28.86
_08898_,28.845
_03999_,28.84
_10847_,28.84
top_inst.axis_out_inst.out_buff_data\[112\],28.84
_05790_,28.82
_06254_,28.82
net383,28.82
_02846_,28.8
_07758_,28.795
_03940_,28.78
_06878_,28.78
_08357_,28.78
_09774_,28.74
_02704_,28.7
_04449_,28.7
top_inst.deskew_buff_inst.col_input\[35\],28.7
_02030_,28.68
_08030_,28.68
top_inst.grid_inst.rows\[0\].cols\[2\].pe_inst.sum_output\[7\],28.68
_06715_,28.66
_10225_,28.66
_11288_,28.655
_08891_,28.64
_01510_,28.62
top_inst.deskew_buff_inst.col_input\[78\],28.62
_09410_,28.6
_10457_,28.6
_09591_,28.595
_07777_,28.58
net1001,28.58
_03125_,28.57
_10069_,28.56
_02459_,28.54
_03784_,28.54
_03072_,28.52
_02949_,28.5
_07996_,28.5
_07846_,28.48
top_inst.grid_inst.rows\[0\].cols\[3\].pe_inst.sum_output\[9\],28.48
_09767_,28.46
top_inst.grid_inst.rows\[3\].cols\[0\].pe_inst.weight_reg\[1\],28.46
_10244_,28.44
top_inst.skew_buff_inst.row\[2\].output_reg\[5\],28.44
_01208_,28.4
_02354_,28.4
_03054_,28.4
_02462_,28.38
_05342_,28.38
_05644_,28.38
_07182_,28.38
_07506_,28.38
_07857_,28.38
_08244_,28.38
_05911_,28.36
_11648_,28.36
_04018_,28.34
_05664_,28.34
_10385_,28.34
_07620_,28.32
top_inst.grid_inst.rows\[0\].cols\[0\].pe_inst.sum_output\[1\],28.32
net979,28.32
_04390_,28.3
net693,28.3
_07557_,28.28
_10338_,28.28
top_inst.axis_in_inst.inbuf_bus\[5\],28.28
net272,28.28
net341,28.28
_11543_,28.27
_02271_,28.26
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[2\]\[25\],28.26
net432,28.26
_01966_,28.24
_09237_,28.24
net478,28.24
_08887_,28.22
_07398_,28.21
_04412_,28.2
_08259_,28.2
_09549_,28.2
top_inst.grid_inst.rows\[0\].cols\[2\].pe_inst.sum_output\[6\],28.2
net385,28.19
_05372_,28.18
_08627_,28.18
_06750_,28.16
_10004_,28.16
_03178_,28.14
top_inst.deskew_buff_inst.row\[2\].delayed_pass.shift_reg\[0\]\[29\],28.14
_05351_,28.12
top_inst.skew_buff_inst.row\[3\].has_delay.shift_reg\[2\]\[0\],28.12
net866,28.12
_10903_,28.1
_03219_,28.06
top_inst.deskew_buff_inst.col_input\[105\],28.06
_05862_,28.04
_05954_,28.04
_10741_,28.04
_01384_,28.02
top_inst.grid_inst.rows\[2\].cols\[1\].pe_inst.sum_output\[21\],28.02
_10146_,28
_11223_,28
_06973_,27.98
_09143_,27.975
_06302_,27.94
_09915_,27.94
_05814_,27.92
_06611_,27.92
_02858_,27.9
_04048_,27.9
_10862_,27.9
_07645_,27.88
_06695_,27.875
_06562_,27.86
_10327_,27.86
_09826_,27.84
_09990_,27.84
_01642_,27.82
_02947_,27.82
_09564_,27.82
_10370_,27.82
net604,27.82
_04053_,27.8
top_inst.deskew_buff_inst.row\[1\].delayed_pass.shift_reg\[0\]\[28\],27.8
_07196_,27.78
_05437_,27.76
top_inst.grid_inst.rows\[0\].cols\[2\].pe_inst.sum_output\[14\],27.76
_03141_,27.74
net558,27.74
_00463_,27.735
_01673_,27.72
_03723_,27.7
_09824_,27.7
_09946_,27.7
_02516_,27.68
_07677_,27.66
_07277_,27.64
_07436_,27.64
_06716_,27.62
top_inst.grid_inst.rows\[2\].cols\[3\].pe_inst.sum_output\[2\],27.62
_09111_,27.61
_10296_,27.6
_10704_,27.6
_02820_,27.595
_07185_,27.56
_08517_,27.56
net486,27.52
_05518_,27.515
_07841_,27.5
net373,27.5
net398,27.5
_01657_,27.48
net576,27.48
_10960_,27.46
_01691_,27.44
_02752_,27.44
_09822_,27.44
_03926_,27.42
_01800_,27.4
_02565_,27.4
_02191_,27.36
top_inst.grid_inst.rows\[2\].cols\[1\].pe_inst.sum_output\[18\],27.36
_04476_,27.34
_05779_,27.34
_06604_,27.34
_04445_,27.32
_09562_,27.32
_10298_,27.31
_02383_,27.3
_05452_,27.3
_08939_,27.3
_02220_,27.28
_06332_,27.24
_03162_,27.22
_07976_,27.22
top_inst.deskew_buff_inst.col_input\[100\],27.22
_01940_,27.2
_07555_,27.18
_10940_,27.18
_02089_,27.16
_09563_,27.16
_03489_,27.14
_05579_,27.14
_06141_,27.14
_01457_,27.12
_01884_,27.12
_06940_,27.12
_06335_,27.11
_02775_,27.1
_07343_,27.08
_02215_,27.06
_09155_,27.06
_10389_,27.06
_10853_,27.06
clknet_leaf_53_clk,27.06
_01349_,27.04
_11249_,27.02
_08116_,27
_10904_,27
_09416_,26.98
_10626_,26.98
_01552_,26.96
_08932_,26.96
_10892_,26.96
_05506_,26.94
_07388_,26.93
_09461_,26.93
net966,26.93
_05434_,26.92
clknet_leaf_74_clk,26.92
_00682_,26.9
_05376_,26.9
_08758_,26.9
top_inst.deskew_buff_inst.row\[2\].delayed_pass.shift_reg\[0\]\[5\],26.86
_01242_,26.85
_02374_,26.84
_08725_,26.82
_01732_,26.78
_04110_,26.76
_08072_,26.76
_01588_,26.7
_02718_,26.7
_06423_,26.7
_02070_,26.68
_02676_,26.64
_04001_,26.63
_10994_,26.62
_10678_,26.61
_07394_,26.6
_09306_,26.6
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[2\]\[26\],26.6
top_inst.skew_buff_inst.row\[2\].output_reg\[6\],26.6
_01467_,26.58
_01658_,26.58
_10017_,26.56
_10792_,26.56
net276,26.56
_05921_,26.54
_08608_,26.54
_07943_,26.52
_10670_,26.52
_00486_,26.5
_07653_,26.5
_07926_,26.48
_03523_,26.46
_04251_,26.44
top_inst.grid_inst.rows\[0\].cols\[0\].pe_inst.sum_output\[0\],26.44
_05667_,26.42
_08508_,26.42
_07426_,26.4
_09741_,26.4
_08455_,26.38
net488,26.36
_08211_,26.33
net218,26.32
_04410_,26.3
_06739_,26.3
_06971_,26.3
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[1\]\[7\],26.3
_02907_,26.28
_06914_,26.28
net323,26.28
net449,26.28
_07483_,26.27
_01604_,26.26
top_inst.deskew_buff_inst.row\[2\].delayed_pass.shift_reg\[0\]\[19\],26.26
net224,26.26
_01876_,26.24
net339,26.22
net978,26.18
_01531_,26.16
_02611_,26.16
_05555_,26.14
_09393_,26.14
top_inst.grid_inst.rows\[2\].cols\[1\].pe_inst.sum_output\[17\],26.14
net894,26.14
_05460_,26.12
_09862_,26.12
_01787_,26.1
top_inst.grid_inst.rows\[2\].cols\[0\].pe_inst.sum_output\[16\],26.1
net816,26.1
_05377_,26.08
_07224_,26.08
_07425_,26.08
net880,26.08
_04083_,26.07
_08757_,26.06
_11655_,26.06
net575,26.03
top_inst.deskew_buff_inst.col_input\[71\],26.02
net538,26.02
_09640_,26
top_inst.axis_in_inst.inbuf_bus\[1\],26
net1034,26
_03394_,25.98
_03950_,25.98
_09675_,25.96
_02501_,25.94
_11643_,25.94
_06219_,25.92
_10164_,25.9
_03966_,25.86
_07361_,25.84
_09321_,25.84
_02899_,25.82
_06725_,25.82
_07496_,25.82
_08207_,25.82
top_inst.deskew_buff_inst.row\[1\].delayed_pass.shift_reg\[1\]\[6\],25.82
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[1\]\[10\],25.8
_05509_,25.78
_09968_,25.78
_03202_,25.76
_03979_,25.76
_09167_,25.76
_10380_,25.76
top_inst.grid_inst.data_path_wires\[16\]\[7\],25.76
_03442_,25.72
_03287_,25.7
_11182_,25.7
_05844_,25.68
top_inst.axis_in_inst.inbuf_bus\[17\],25.68
top_inst.skew_buff_inst.row\[2\].output_reg\[2\],25.68
_05355_,25.66
_07883_,25.66
top_inst.deskew_buff_inst.row\[2\].delayed_pass.shift_reg\[0\]\[16\],25.66
_11399_,25.62
_07178_,25.61
_07385_,25.6
_05520_,25.585
_02185_,25.58
_06004_,25.58
top_inst.grid_inst.rows\[0\].cols\[1\].pe_inst.sum_output\[15\],25.58
_01707_,25.56
_06273_,25.56
_06172_,25.52
net886,25.52
_06297_,25.48
_08859_,25.48
_07807_,25.46
_04169_,25.44
_07981_,25.44
_01196_,25.42
_04426_,25.42
_04148_,25.4
top_inst.grid_inst.rows\[2\].cols\[1\].pe_inst.sum_output\[12\],25.4
_01844_,25.36
_02728_,25.36
_09331_,25.36
net925,25.36
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[2\]\[29\],25.34
_07015_,25.32
_10404_,25.32
top_inst.grid_inst.rows\[2\].cols\[3\].pe_inst.sum_output\[27\],25.32
_08381_,25.3
_11427_,25.3
_03339_,25.26
_03848_,25.26
top_inst.skew_buff_inst.row\[3\].output_reg\[2\],25.26
net877,25.26
_01238_,25.24
_02544_,25.24
_03572_,25.24
_05384_,25.24
_06898_,25.24
top_inst.axis_in_inst.inbuf_bus\[21\],25.24
_10209_,25.22
_09434_,25.215
net173,25.2
_09685_,25.18
_09788_,25.18
top_inst.axis_in_inst.inbuf_bus\[19\],25.18
net973,25.18
top_inst.deskew_buff_inst.col_input\[37\],25.155
_10459_,25.12
_10088_,25.1
_01209_,25.08
_07752_,25.08
_08507_,25.08
_10121_,25.08
top_inst.grid_inst.rows\[3\].cols\[1\].pe_inst.weight_reg\[6\],25.08
_07354_,25.07
_01218_,25.06
_06449_,25.06
_07537_,25.06
net871,25.06
_07887_,25.04
net205,25.04
_09025_,25.02
_06541_,25
_10809_,24.98
_11129_,24.98
top_inst.grid_inst.rows\[0\].cols\[1\].pe_inst.sum_output\[9\],24.98
_11397_,24.975
_01307_,24.96
_10278_,24.96
net710,24.96
_03964_,24.92
_02562_,24.9
_07517_,24.9
_01885_,24.88
_07885_,24.88
top_inst.axis_in_inst.inbuf_bus\[3\],24.88
top_inst.axis_out_inst.out_buff_data\[31\],24.88
_06539_,24.86
_11415_,24.86
_04124_,24.84
_08989_,24.84
net254,24.83
_02486_,24.82
_06774_,24.82
_06920_,24.82
top_inst.grid_inst.rows\[1\].cols\[0\].pe_inst.sum_output\[24\],24.82
_00718_,24.805
_03829_,24.8
_04306_,24.8
_11345_,24.8
top_inst.grid_inst.rows\[0\].cols\[2\].pe_inst.sum_output\[2\],24.8
_03446_,24.78
_08934_,24.78
_06398_,24.76
_06426_,24.76
_08241_,24.75
_09302_,24.74
_02068_,24.72
net274,24.72
_03740_,24.7
_08102_,24.7
_10273_,24.7
net674,24.69
_07105_,24.66
top_inst.axis_in_inst.inbuf_bus\[11\],24.66
_02972_,24.64
_06670_,24.64
_08222_,24.64
net1029,24.64
_02168_,24.61
_06280_,24.6
_05339_,24.58
_02606_,24.56
_06075_,24.56
_06789_,24.56
_09963_,24.56
top_inst.deskew_buff_inst.row\[1\].delayed_pass.shift_reg\[0\]\[15\],24.56
top_inst.grid_inst.rows\[0\].cols\[1\].pe_inst.sum_output\[11\],24.54
_04892_,24.52
_06093_,24.52
net247,24.52
net970,24.5
_08187_,24.48
_01222_,24.46
_01434_,24.46
_05546_,24.46
_05933_,24.46
_11588_,24.46
_01613_,24.45
_01945_,24.44
_09795_,24.44
_06683_,24.42
net818,24.42
_05898_,24.4
_06995_,24.4
net817,24.4
top_inst.grid_inst.rows\[2\].cols\[3\].pe_inst.sum_output\[24\],24.39
_07720_,24.38
_00014_,24.36
_03154_,24.36
_08394_,24.36
_07535_,24.34
_08578_,24.34
_09357_,24.34
_05690_,24.32
_06779_,24.32
_03873_,24.3
_06139_,24.3
_10756_,24.3
net335,24.3
_02589_,24.26
net616,24.26
_08278_,24.24
_10954_,24.24
_05797_,24.22
_10096_,24.22
_11451_,24.22
_11637_,24.22
_07448_,24.2
_07565_,24.2
_10703_,24.2
_02995_,24.19
net319,24.18
net573,24.18
_10421_,24.16
_04040_,24.15
net848,24.14
_11563_,24.12
_04065_,24.115
_01287_,24.1
_07672_,24.1
_11548_,24.09
_09518_,24.08
_11620_,24.08
_01522_,24.06
_10829_,24.06
_05785_,24.04
_02815_,24.02
_03420_,24.02
_06320_,24.02
_04344_,24
_05795_,24
_07189_,24
_02786_,23.98
_08844_,23.98
_10418_,23.98
_11354_,23.98
_02636_,23.96
_03372_,23.96
_10944_,23.96
net781,23.96
_09612_,23.92
_09920_,23.92
_04368_,23.9
_09026_,23.9
_09342_,23.9
_05831_,23.88
_06095_,23.88
_07359_,23.88
_08628_,23.88
net965,23.88
_00452_,23.865
_01330_,23.86
_06712_,23.86
_07771_,23.86
_07743_,23.845
_03373_,23.84
_10850_,23.84
_11580_,23.84
_05677_,23.82
_10945_,23.82
net711,23.82
_04077_,23.8
_09485_,23.8
_11638_,23.8
_05896_,23.78
_06014_,23.78
_11254_,23.77
_08113_,23.76
_04132_,23.74
_01710_,23.72
_06270_,23.72
top_inst.grid_inst.rows\[2\].cols\[0\].pe_inst.sum_output\[31\],23.72
_05915_,23.68
_09413_,23.68
_02515_,23.66
top_inst.axis_in_inst.inbuf_bus\[15\],23.64
top_inst.deskew_buff_inst.row\[1\].delayed_pass.shift_reg\[1\]\[5\],23.64
_08276_,23.62
_06115_,23.6
top_inst.skew_buff_inst.row\[1\].output_reg\[0\],23.58
_06656_,23.56
_08462_,23.55
_01575_,23.52
_02627_,23.52
_02667_,23.52
_11007_,23.52
_03867_,23.5
_06458_,23.5
_09517_,23.5
net845,23.5
_02586_,23.46
_02024_,23.44
_08391_,23.44
_05475_,23.4
_07477_,23.4
_06337_,23.395
_10147_,23.38
top_inst.deskew_buff_inst.row\[1\].delayed_pass.shift_reg\[0\]\[22\],23.38
net424,23.38
_09165_,23.36
top_inst.grid_inst.rows\[2\].cols\[0\].pe_inst.sum_output\[24\],23.36
net206,23.34
_02541_,23.32
_07914_,23.32
_05449_,23.3
top_inst.deskew_buff_inst.row\[1\].delayed_pass.shift_reg\[1\]\[26\],23.3
clknet_leaf_7_clk,23.3
_08657_,23.28
_04234_,23.26
_07030_,23.26
_08021_,23.26
net652,23.26
_05906_,23.24
_06551_,23.24
_11430_,23.24
_10667_,23.23
_01786_,23.22
_10419_,23.22
_10316_,23.21
_05935_,23.18
_07428_,23.18
top_inst.axis_out_inst.out_buff_data\[4\],23.175
_08967_,23.17
_09552_,23.16
_11070_,23.15
_04248_,23.14
top_inst.deskew_buff_inst.col_input\[118\],23.14
_09550_,23.135
_06416_,23.12
net300,23.12
net992,23.12
_10145_,23.1
_11400_,23.1
_07484_,23.06
_08985_,23.06
_09833_,23.06
_03034_,23.04
_04017_,23.04
_07694_,23.04
_08272_,23.04
_08782_,23.04
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[1\]\[20\],23.04
_07692_,23.03
_10268_,23.03
_01420_,23.02
_07903_,23.02
_10814_,23
_01916_,22.96
_07363_,22.96
_09132_,22.96
